Name,Students,Equipment,Area,Instructions,Variation
Stop Softball,2 groups of 6-10,"1 tennis ball or softball, 1 bat and 4 marker cones or bases per 2 groups",Large open space,"The object is for the striker to hit the ball into fair territory and run around the bases without stopping, before the catcher gains possession of the ball and calls ""Stop"". The striker throws the ball up and hits it into the field. The fielders throw the ball directly home to the catcher. There are no outs. A caught ball results in no score. A foul ball counts as a turn at batting. A runner who is between bases when stop is called, returns to base. When all the strikers have had a turn, the groups change.",". Students use a batting tee
. Use a pitcher
. Instead of the fielders throwing the ball to the catcher, have them throw it to a pitcher, who must pitch a ball over home base to the catcher to stop the striker. Use a different pitcher for each striker.
. Specify the number of throws among fielders before the ball is thrown to the catcher."
Long Ball,2 groups of 6-8,"1 softball, 1 bat, 2 marker cones and 2 bases per 2 groups.",Large open space.,"The object is for the striker to score a run by hitting the ball into fair territory, and then running to long base and back home without getting out. A pitcher from the fielding group throws the ball. The striker must reach the base before the ball or before being tagged with the ball. They may stay there or try to return home. If the base is left, the striker cannot return. Several students may be on long base at one time. When all the strikers have had a turn, the groups change. The marker cones are used to determine foul territory. ",". Play by outs (eg. 3 out = all out).
. Use a batting tee.
. Students throw the ball up and hit it.
. Place a mat midway between home and the long base and have the striker perform a stunt on the way to and from the long base (eg. a forward roll).
. Use a rounders bat and ball. "
Skittle Softball,2 groups of 8-10,"1 softball, 1 bat, 4 bases and 4 skittles or milk cartons per 2 groups",Large open space.,"Set 4 bases in a softball diamond formation. The activity is similar to softball except there is a skittle on the outside corner of each base and in the middle of the home plate. The pitcher throws the ball so that the striker can hit it. The striker hits the ball into fair territory and then runs outside the bases and touches home plate. The fielders retrieve the ball and pass it to the fielders at first, second, third and home base. When the base fielders receive the ball they knock down the skittle on their base and throw the ball to the next base. The striker is out on a catch, if they knock down a skittle, or if the 4 skittles can be knocked down by the fielders before the striker gets home. Rotate base fielders after each innings. When all the strikers have had a turn the groups change. ",". Play by outs (eg. 3 out = all out)
. Students use a batting tee.
. Student use a rounders bat and a tennis ball.
. Vary the number of skittles and the distance between bases according to the ability of students."
Home Run Derby,2 groups of 5-8,"1 softball, bat and 4 bases per 2 groups.",Large open space.,"A pitcher from the fielding group pitches the ball to the striking group. The object is for the striker to hit the ball safely over the restraining line. The restraining line is drawn from first to third base. The hit ball must travel over this line in order to be fielded. The infield area is between first, second and third base and the restraining line. Each striker is given 3 chances to hit the ball into play. A point is scored when the ball is hit into the infield (1 point) or outfield (2 points). There is no base running. Only 1 student may field the ball. If the ball is fielded cleanly without a fumble, the striker is out. If the ball cannot be fielded or is fielded improperly, it is counted as a hit. Infielders and outfielders exchange positions after each innings. Pitchers change after each innings and are eligible to bat. When all the strikers have had a turn, the groups change. ",". Students use a batting tee.
. The striker throws up the ball and hits it.
. Play by outs (eg. 3 out = all out)
. The fielding group provides the pitcher.
. Students use a rounders bat and a tennis ball."
Circle Softball,2 groups of 6-8.,1 playground ball and 1 bat per 2 groups.,Large open space.,"The object is for the striking group to hit the ball out of a 15 metre diameter circle formed by the fielding group. The members of each group are numbered. The pitcher is the member of the fielding group whose number corresponds to that of the striker so that each striker has a different pitcher. Each striker tries to hit 5 pitches out of the circle. When all the strikers have had a turn, the groups change.",". Students use a batting tee
. Vary the size of the circle according to the ability of the students.
. The striker has only 1 try.
"
Fetch!,Pairs of groups of 3.,"2 large marker cones, a variety of bats and 1 ball per group.",Large open space.,A student hits the ball off the marker cone towards the second marker cone. The partner runs to collect the ball and places it on the second marker cone. The partner repeats the activity from the other end.,". Vary the distance between markers
. Vary the hitting implement
. Vary the ball size
. Place a bean bag on a marker cone which is positioned behind the striker. After the ball is hit, the student follows through to hit the bean bag off the cone."
Target Ball,Groups of 3,"1 newspaper bat, 5 newspaper balls and 3 hoops per group",Open space with rebound wall,"3 hoops are placed on the ground, touching each other and the wall. The aim of the activity is to strike a ball to rebound off the wall landing in 1 of the 3 target hoops. The striker stands 5-7 metres from the wall and has 10 turns at striking. The pitcher throws the ball, returns them to the pitcher and keeps score. Strikers accumulate points according to the point value of the hoop in which the ball lands. After a turn at striking, the students rotate positions. Point targets (eg 100) can be set for individuals or groups.  ",. Students are allowed only 2 hits
Striking Gold,9 groups of 3-4,"1 bat and 1 newspaper ball per group, 18 marker cones and 9 hoops.",Large open space.,"The groups number off from 1 to 9. The groups set up a ‘hole’ by placing a cone in a hoop to act as the target and the remaining cone 30-40 metres away to act as the tee-off area. Group 2 sets up their hole near group 1, group 3 sets up their hole near group 2, and so on until a 9-hole striking gold course is set up. Students play a round of 9-hole striking gold aiming to complete the course with the lowest possible score. Group members help each other by acting as pitchers who kneel near the student and ‘pop’ (ie. Throw) the ball up to be struck towards the hole. A hole is scored when the ball rolls into or through the hoop in which a cone has been placed. Each strike, or attempted strike, adds 1 to the group’s score for the round",". Teachers may set up the 9-hole course beforehand
. Students use score cards
. Establish handicaps for students"
Airborne,Individuals or pairs,1 newspaper bat and a balloon per student or pair,Large open space,"Students strike a balloon aiming to keep it airborne. If working in pairs, students rotate after each turn or the student without a newspaper bat uses their hand. Challenge students to keep the balloon airborne for 20, 30, 40 or 50 hits, or hit the balloon as few or as many times as possible in 60 seconds. A point is scored each time the balloon is hit. At times, stop the class and ask volunteers to demonstrate their skill to others",". For more able students use a softball or tennis ball and bat
. Students make up their own striking activities"
Giant Steps,Pairs,"1 bat and 1 balloon, newspaper ball or bean bag per pair",Large indoor space,"

1 student has 10 turns at striking. The partner, who pitches kneels down about 1 metre
away from the striker and gently ‘pops’ (ie throws) the balloon up for the
striker to hit. With each pitch, the striker investigates the effect of
transferring their weight to their leading foot by stepping forwards, sideways,
a small way, a long way or not at all. Ask students to report their experiences
to the class. The partners swap roles.

",
