Name,Students,Equipment,Area,Instructions,Variation
Sideline Basketball,2 groups of 8-10,1 basketball and colour hands or bibs per 2 groups,Basketball court,"Each group is lined up along opposite sidelines. The first 5 students from each group go on the count. The activity is similar to basketball, with the exception that students on the court may only pass to a sideline student and not directly to another court student. This rule does not apply to successive attempts to score a goal. The ball must be bounced at least once by each student before passing. Sideline students must stay off the court. After each goal the sideline students exchange places with those on the court.
",
Tag Ball,2 groups of 8-10,"4 marker cones, 1 basketball and 2 colour bands or bibs per 2 groups",Hard surface open space,"Set up marker cones to designate the activity area. 1 student from each group is designated as a target student. The object is to score by using the ball to tag the opponent's target student. Basketball rules apply. Students may pass or bounce the ball while moving to touch the opponent's target. If a student chooses to pass, they must bounce the ball first. The target students from one group may tag the other group's target student. Following a score, the group scored against throws the ball back into play from the point where the score was made. ",". Restrict the target student to an area
. The target student cannot run, but must walk or hop to avoid being tagged"
Fast Break,2 groups of 8-10,1 basketball or playground ball per 2 groups,Hard surface open space,The groups divide into 2 groups with each sub-group positioned at either end of the area. The object is for students in the group at an end to pass the ball to their group on the other side of the neutral zone. Students must bounce the ball before passing. No one is allowed in the neutral zone. Basketball rules apply. Opposing group members try to knock down the ball or intercept it before it can be caught.,". Use more than 1 ball
. Widen the neutral zone"
Dribble Contest,2 groups of 6-8,1 playground ball per 2 groups,Hard surface open space,"The groups line up at the opposite ends of the area. The object is for a group to complete the dribble course first. A ball is given to the student at an end of each line (diagonally opposite). On a signal, each student dribbles anti-counter clockwise all the way around the rectangle formed by the 2 groups. When the student reaches the starting point, they hand the ball to the next student, who bounces it around the rectangle.",". Students bounce with their non-preferred hand
. Students bounce in a clockwise direction
. Students weave in and out between students of both groups"
Bounce Tag,Whole class,"1 playground ball, netball or basketball per student. Bibs or coloured bands",Hard surface open space,"Students spread throughout the area, 1 or more wear a bib to indicate they are taggers. On a signal, taggers chase other students who all bounce a ball, aiming to tag as many students as possible. Set time limits for taggers so that students do not become too tired. When tagged, students stand and bounce a ball on the spot until they are 'released' by another student. Release occurs by touching or circling the tagged student. Repeat several times, alternating students who are triggers.",". Students bounce with their non-preferred hand
. On a signal, students swap the hand they are bouncing with"
Obstacle Course,Whole class,"1 playground ball, netball or basketball per student. Hoops, benches, mats, chairs, ropes, cones.",Hard surface open space,"Set up an obstacle course using available equipment. Obstacles can be used to designate certain actions by students. Students bounce their ball while walking (backwards, around a hoop, along benches, on a rope, over mats).",". Of a signal, students use their other hand to bounce the ball
. On a signal, students change direction through the obstacle course
. Vary the ball size to make bouncing more challenging"
Line Scat,2 groups,"1 playground ball, netball or basketball per student.",Hard surface open space,"The groups form 2 lines facing each other about 5-7 metres apart. Students number off, starting at opposite ends. The teacher calls a number and students with that number turn to their right and run bouncing the ball around the outside of their line and back to their places. Students score a point for their group if they return before a set time period has elapsed (eg. 10 seconds).",". Students weave in and out of their line rather than run around it
. Call out more than one number"
"Stop, Go, Turn",Groups of 3,"1 basketball, playground ball or netball per group",Hard surface open space,"2 students stand on a line, 1 with a ball. The third student (signaller) stands on the opposite line is 15-20 metres away. The student with the ball walks while bouncing the ball slowly towards the other line, watching for signals from the signaller. The signaller directs movements by indicating stop (arms raised above head), go (arm held at side) or turn (one arm held out to side to indicate turn and direction of turn). The student gives the ball to the signaller upon arrival at the line. Students continue the activity moving back and forth between lines, alternating roles.",". The student runs while bouncing. The signaller holds up their hand, alternating opening and closing their fist. The student calls out ""Open"" or ""Closed"" to indicate the position of the signaller's fist while bouncing the ball towards the signaller. "
Circle Relay,Groups of 4-8,"1 playground ball, netball or basketball per group",Hard surface open space,"Groups assemble in lines, like the spokes of a wheel. A student at the end of each line has a ball. On a signal, each group tunnel balls the ball to the last student who in line who picks up the ball and runs clockwise around the perimeter of the circle bouncing the ball, returning to the head of the line. The process is continued until all students have had a number of turns. Groups score a point if they complete the relay in a set time (eg 1, 1.5, 2 minutes).",". On a signal, students reverse the direction of their travel.
. Students bounce the ball with their own hand.
. Students pass the ball along the line in a different way (eg. under and over, or above their heads)."
Follow The Leader,Groups of 4,"1 basketball, playground ball or netball per student",Hard surface open space,"Students line up behind leaders. On a signal, students follow their leader about the activity area while bouncing their ball. The leaders aim to make the journey interesting by changing direction regularly without losing their groups. On a signal, leaders drop off to the back of the line and the next student in line becomes the leader who continues bouncing the ball. ",". On a signal, the last student in the line bounces their ball as fast as possible to the front of the line to become the new leader."
