Name,Students,Equipment,Area,Instructions,Variation
Jump Jim Jo,Whole class,Tape deck/CD player and music,Large open space,"Students form a double circle facing a partner, and hold their partner's hands.
4 counts: Students jump twice slowly anti-clockwise. Jump, jump.
Students jump 3 quick jumps on the spot ... pause. Oh, jump Jim Jo.
4 counts: They release hands, and jump 4 times slowly around on the spot. Take a little jump and around you go.
4 counts: Students hold each other's hands and side step and close twice slowly anti-clockwise. Slide, slide. Stamp 3 times ... pause. And stamp just so.
4 counts: Students step left and turn on the spot. You're a funny little fellow. they jump 3 quick jumps on the spot... pause. When you Jump Jim Jo.
",. Students are in their own space or in a single circle
Shape Jumping,Pairs,"Chalk, low bench or low horse and 2 gym mats per pair",Large open space,"Individually with partner feedback or in combination with the partner, students stand on the bench or horse and perform various jumps to land on a target on a mat. The target should be chalk circle about the size of a hoop. When in the air the students make symmetrical or asymmetrical shapes (wide, curled, thin, twisted). Students must hold all landings for 2 seconds.",
Jumping circuit,Whole class,See diagram and activity description,Grassed surface open space,"Set up 7 activity stations. Groups of students spend 3 minutes at each station and rotate on a signal.
Warm up: 'Jack in the Box', 'Pop Goes the Weasel', or teach 'motorbike landings'.
Station 1: Students vertical jump over a cane placed on small marker cones, a wooden block or soft cushion and land in a hoop or chalk circle.
Station 2: Students climb on to a box or foam shape and vertical jump on to a mark (eg a cross) on a mat. The landing should be in a 'motorbike' position.
Station 3: Students devise a jumping pattern of vertical jumps and hops in hoops, or vertical jumps into blue hoops and hops in other colours using a different foot (eg red = right foot, green = left foot).
Station 4: Students vertical jump to touch a suspended ball, soft toy or balloon.
Station 5: Students vertical jump 10 times on a trampette (their hands touch the wall for support), then vertical jump off to motorbike land on a mat. 
Station 6: Students skip with a rope and jump as high as possible. They push off the balls of their feet and extend their toes. Encourage students to try to keep a rhythm.
Station 7: Students crouch to touch the seat of a chair behind them then vertical jump up to touch a wall in front.
",
Memory Mats,Small groups,"Memory mats (ie various pictures of body parts, numbers, shapes, colours or words) made from cardboard or chalk drawings",Large open space,"1 student lists a sequence of named squares on to which another student must jump. Jumps may be performed forwards, backwards or in a sideways direction. Encourage students to keep the length of the sequence short.",
Caterpillar Tag,Whole class,1 hoop per 2 students and 2 colour bands,Large open space,"1 pair, designated as the taggers wear colour bands or bibs. For all pairs, 1 student stands inside their hoop, the other stands outside. They both hold the hoop. Pairs jump about with the tagging pair chasing them. When tagged, the pair jons the tagging pair by moving their hoops together and proceed to capture other pairs. Students continue for 2-3 minutes, then start a new round.",
Helicopter Jumps,Groups of 3-4,"1 rope with a weighted end (eg knot, rope handle etc.) per group",Large open space,"1 student controls the helicopter by swinging the rope around in a circle how to the ground. Other students make a circle around the helicopter and jump the 'blade' as it comes around while calling out the rhyme:
Helicopter, helicopter,
Please come down,
Do your duty on the ground.
What's our favourite colour?
The helicopter calls out a colour. (eg. ""Yellow""). The others spell out the word, one letter each time they jump the rope. (eg. Y-e-l-l-o-w""). Swap the student controlling the helicopter after a few minutes.","If the student is touched by the rope, they get the letter J. The second time the same student is hit, they get the letter U and so on until the word JUMP is spelt."
Different Jumps,Individuals,Nil,Large open space,"Explore jumping in different ways:
. From 2 foot to 2 feet
. From a low crouch start
. In a circle
. Making shapes in the air
. Forwards, backwards, sideways",". Students perform a sequence of jumps which lasts 30 seconds
. Students join with a partner to assist each other to jump higher, jump in opposition or devise a synchronised jumping routine"
Bench Hops,Small groups,1 bench per group,Large open space,"Students execute a series of 2 foot jumps (ie bunny jumps) over the bench while supporting their body using straight arms. Each time their feet touch the ground, their hands move along the bench.
",
Hoop Jump,Pairs,1 hoop per pair,Large open space,"1 student kneels holding a hoop out in front of their body with straight arms. The other student jumps in and out of the hoop using forwards, backwards and sideways jumps. Ensure both feet take off and land simultaneously. Students swap places.",
Jumping Rope,Individuals,1 rope per student,Large open space,"Students complete different rope jump activities:
. Jumping rope, forwards and backwards
. Turning the rope twice but jumping once
. Making up a pattern of jumps, hops, double jumps and extra rope swings to the side of the body which can be repeated and taught to a partner.
. Jumping with a partner using the same rope

",. Students use hoops instead of skipping ropes
