Name,Students,Equipment,Area,Instructions,Variation
Leap the Brook,Whole class,"Ropes, chalk or tape",Large open space,Students divide into 3 groups and leap over parallel ropes or lines marked on the floor/ground. Gradually widen the ropes after each leap.,". Mark lines in a V shape to allow each student to leap across the most comfortable width for them
. Place a series of coloured lines on the floor/ground so that students can attempt different distance leaps"
Fly,Groups of 4-6,4 markers (eg colour bands) per group,Large open space,Set out the markers about 1 metre apart. Students take turns to run up to the markers and leap between them. The forth marker is moved to the spot where the heel of the leaper lands. The forth marker is only moved if the leaper successfully leaps over it.,". The last movement can be a jump instead of a leap
. The pattern can be hop, leap, jump (triple jump practice)
. Students may choose any marker 1, 2, 3 or 4 to pick up and move to their landing spot
"
Wriggles,Groups of 5-10,1 long skipping rope per group,Large open space,"Students holding the ropes wriggle it sideways. Others form a line to leap over the rope. If cleared, then the wriggle size is increased. If a student lands on the rope, they take an end.",". The rope is swung from side-to-side slowly. Students must run and leap over it in time with the rope swing.
. The rope is wriggled up and down so students leap high to clear it"
Memory Maze,Small groups,"Memory mats (ie various pictures of body parts, numbers, shapes, colours, words etc.) fixed to the door or chalk drawings on asphalt",Hard surface open space,1 student lists a sequence of memory mats on to which another student must leap. Leaps may be performed forwards or in a sideways direction. Encourage students to keep the length of the sequence short.,
Leap in the Creek,Small groups,2 long ropes per group,Large open space,"Students line up behind a rope. The other rope is placed parallel to the first rope. On the call ""In the creek"", students take a big leap into the 'creek'. On the call, ""On the bank"", students take a big leap out of the creek, or depending where they are, from one 'bank' to the other.",. Increase creek width by moving the ropes further apart
Crocodile Leap,Pairs,2 long ropes per pair,Large open space,"Ropes are set at an angle to each other to create a crocodile infested river. Pairs begin at the narrow end and attempt to leap across the 'river' to avoid the crocodiles. A student leads for 3 turns and chooses which part of the river to leap. Their partner then leaped from the same place. If both students are successful, the activity is repeated. If one student is unsuccessful, they lose a 'life'. Students start the activity with 10 lives each.",
Obstacle Leap,Groups of 5-10,Nil,Large open space,"Groups line up. The first student in the line runs forwards 5 metres and lies flat to form a 'rover'. Student 2 leaps the river, runs on 5 metres and crouches down to form a 'rock'. Student 3 leaps the river then the rock, runs on 5 metres and kneels with their hands on the ground to form a 'bridge'. Student 4 leaps the river and goes under the bridge, runs on 5 metres and stands still to form a 'tree'. The remainder of the group continues to leap over, crawl under, and run around the obstacles until the whole group has finished. Other members of the group then have a turn at being an obstacle. ",
Tap the Top,Pairs,1 small ball and 1 chair/bench per pair,Large open space,1 student stands on a chair and holds the ball to the side with an outstretched arm at shoulder height. The partner takes a 2-3 step run-up and leaps to touch the ball. The height of the ball is progressively raised until the partner cannot leap and touch it. Students change roles. ,. Extend the distance rather than height to encourage a hrozintal stretch
Leap 'n Run,Groups of 3-4,"4 blocks, 3 ropes and 3 marker cones per group",Large open space,"Students leap over the cones, ropes and blocks and then run around the marker. They repeat the sequence in reverse to touch the next student's hand to indicate their turn.",". Introduce a time trial
. Use this activity as a relay, in a circuit or as a tabloid sport"
Leader Leaps,Groups of 3-6,6 hoops per group,Grassed surface open space,Scatter hoops in a random pattern close together. Students make a leaping sequence for the next student in the group to copy.,". Scatter different coloured hoops. Students leap into the hoops with the colours as called by the teacher or partner.
. Alternatively students avoid the colours called
. Use this activity as a relay, in a circuit or as a tabloid sport"
Left Right Leaps,Groups of 3-6,Chalk circles,Hard surface open space,Mark chalk circles with L (left) or R (right). Students create their own sequence leaping through the circles ensuring they travel through them according to the direction.,". Use the activity as a relay, in a circuit or as a tabloid sport"
Snake Leaps,Groups of 5-6,A long rope per group,Large open space,Place the rope on the ground to represent a snake. Students start in the first snake loop and jump over the line to A then leap to B. Students repeat the sequence of jumps and leaps along the snake rope,". Use this activity as a relay, in a circuit or as a tabloid sport"
Space Walk,Groups of 3-6,9 hoops per group,Grassed surface open space,Students create their own journey leaping into hoops. Each landing must be with only 1 foot.,". The teacher calls ""left"", ""right"", ""forwards"", ""backwards"" to indicate in which direction to leap.
. Visual instructions similar to above may be given using cards marked L, R, F, B or left, right, forwards, backwards or use the colours of hoops.
. Introduce memory sequences such as R, L, R, L either verbally or visually."
Long Leaps,Individuals or pairs,"1 rope per student or pair, chalk",Hard surface open space,Place a rope a short distance away from a chalk circle. Students leap from the circle over their rope. They then leap back to the circle. When students are successful they move the rope a little further away.,
Towards Hurdling,Groups of 4-6,6 hoops and 6 markers per group,Grassed surface open space,Place the hoops in a line. Between the hoops add a marker. Students leap over the markers into the hoop. Encourage the opposite hand to slap the lead leg for each leap over the marker.,". Use this activity as a relay, in a circuit or as a tabloid sport
. Place a cane over the top of 2 markers to make a low hurdle to leap over
"
Triple Jumps,Groups of 5-6,3 ropes per group,Large open space,"Make 3 lines with the ropes. A student stands at the first rope and hops over it (same foot), then leaps over the next rope (other foot) and finally jumps over the third rope and lands on both feet. This is repeated until the sequence is established and comfortable. Extend this by adding a single run-up step before the first hop. When this is consistent add a 3-step run-up, then 5 steps, then 7. Extend this again by moving the ropes further apart and finishing the jump in a sandpit or on a crash mat.",
Freeze,2 groups,Colour bands,Large open space,"Students in a group are designated as taggers. All students move around the area looking for a free space. On the call of ""freeze"" students stop. The taggers look for someone close to them from the opposite group and try to tag them using 1 leap only to get closer. Students score by counting the number of students tagged.",". Students try to leap to the second nearest opponent
. Students leap to an opponent using a triple jump"
Rob the Nest,Whole class,"8 ropes, 4 markers, 24 bean bags",Large open space,"Students (birds) divide into 4 groups and line up behind their group's marker (nest), 6 bean bags (eggs) and two ropes (branches). One at a time they run to another nest, leap over the branches near that nest and steal 1 egg. They then bring it back to their nest. If they do not clear both branches, they cannot take an egg and must return to their nest for the next bird to try. Students continue for a set time, then count the number of eggs in each nest. ",. Extend the distance between the ropes to encourage a horizontal stretch
Leap Relay,Groups of 6-8,2 ropes per group,Large open space,"The group divides into 2 and lines up at opposite ends with the ropes placed in the middle. Taking turns, students run and leap the ropes, touch the next group member's hand and then move to the end of that line.",. Vary the distance between ropes according to the skill level of students in the groups (ie 1 group may be able to leap more proficiently)
Leg Leap Relay,Groups of 6-8,Nil,Large open space,"Students sit in a line at least 1 metre apart with their legs outstretched and feet together. The first student runs behind everyone to the end and leaps over the group member's legs back to their starting position. Then the second student leaps over the first student's legs, runs behind the group and leaps over the legs of the rest of the group until they are back to their original starting place. The relay continues until everyone has had a turn. Safety should be emphasised.",". Give a pair a number or name of a fruit, animal etc. When that number or name is called the pair race, leaping over the legs to the end and back to their position"
Charlie,Whole class,20-30 ropes,Large open space,"Students start from behind a line and run across the activity area (water), leap over pairs of ropes on the ground and dodge the 'Charlies' who chase them, to get safely over the line on the other side. If they are tagged by a Charlie or if they miss a leap over a pair of ropes they become a Charlie. Before running across the water, students sing the chant:
'Charlie over the water,
Charlie over the sea,
Charlie caught a blackbird,
But can't catch me.'",
Beat the Ball,Groups of 5-6,"1 ball and 8 ropes, bean bags or chalk lines per group",Large open space,"4 or 5 students form a row, with each student 2 metres apart. Another students stand at a start line. A ball is thrown down and up the row to be caught by each student. The other student runs and leaps over each pair of ropes opposite the throwers and back again to try to beat the ball. The activity is repeated with students in new positions.",
Warm-Up Legs,Whole class,"Court markings, bibs, ropes, colour bands, milk cartons etc.",Large open space,". Students run to leap over designated lines
. Students run to leap over each line as they progress down or across a court
. Students run to leap over small obstacles such as clothing, bibs, milk cartons etc.
. Students run to leap over scattered ropes
. Students run over an obstacle, change directions and run to leap over another obstacle, continuing in a zig-zag pattern",
Stepping Stones,Groups of 4-5,5-6 hoops per group,Large open grassed space,Students leap over a line of hoops (stepping stones over a river) leading with a different leg to each hoop. They must remain in the safety of the stepping stone to avoid piranhas.,. Vary the distance between the hoops
