Name,Students,Equipment,Area,Instructions,Variation
Tee-Off,Small groups,"1 newspaper ball per student, 1 marker cone and 1 dome marker",Large open space,"In small groups students design their own hole using the marker cone as the tee-off area, the hoop as the green and the upturned dome marker as the hole. The tea-off must be a full force overhand throw and the 'pull' must be an underarm throw. For the whole class activity, combine constructed holes to form a course.",". Use feathered or plastic shuttlecocks (feathered shuttlecocks do not travel as far as the plastic variety)
. Use bean bags and small foam balls"
Clean Up Your Yard,2 groups,1 newspaper ball per student and 8 marker cones per 2 groups,Large open space,"Set marker cones 10-15 metres apart to designate 2 areas. The groups face each other in their territory. On the command, each group bombards the other trying to accumulate as many paper balls as possible in the other group's territory. Set a distance which requires a full force overhand throw.",". Increase the distance between territories
. Place a barrier between the 2 groups"
Lob the Bomb,2 groups,Newspaper balls or soft objects,Large open space,The groups are positioned 10-15 metres apart. 1 group lies face down in a cluster in a set area (eg bat tennis court). The other group throws soft objects to land on their opponents.,. Increase the distance between the groups
Odd Ball,2 groups of 5-6,4 marker cones or bases and 1 softcrosse ball per 2 groups,Large open space,"The activity is similar to tee-ball or baseball, except that the batter throws the ball and uses the non-preferred hand. Bases should be set in a diamond 10 metres apart. Any number of students from the batting group may be on a base at any time. Rules can be modified to suit students or use the rules of baseball, softball or tee-ball.",
Beat That,Pairs,A badminton shuttlecock per pair,Large open space,Students start sitting or standing shoulder to shoulder (non-throwing arm) and take turns to throw a badminton shuttlecock over each other. The throw is taken from where the previous one landed (provided it was over the head of the partner). In this way students progressively move apart. Students attempt to set a personal best by measuring the maximum distance that they can throw past each other.,
Skittle Ball,2 groups,Plastic skittles or milk cartons and 20-30 newspaper balls per 2 groups,One third of a netball court,"The 2 groups stand at each end of the area. Place 3-5 skittles behind each group. Students throw newspaper balls to try and knock down the opposition's skittles. Students protect their own skittles. if a student gets hit they go to the back of their own group's skittles, collect the newspaper balls and continue to throw at the opposition's skittles. The activity continues until a group's skittles have all been knocked over.",
Steep Hill Throw,Pairs,1 ball per pair,Steep slope or mound,Students stand at the foot of a very steep slope. They throw a ball as near to the peak as possible and let it roll back. A partner retrieves mis-thrown balls. Use specifically marked ball for each pair.,
Point Score,Groups of 3,"2 bean bags per student, 1 piece of chalk per group",Hard surface open space,Students mark out numbered targets. Each student has 2 throws to score a maximum number of points. Points are tallied for each group.,". Vary the number of throws per group
. Challenge students to set a world record"
Corner Ball,Pairs,1 tennis ball per pair,Large indoor space,"Using a corner, students attempt to throw the tennis ball with enough force on the floor and to a wall, then to the other wall and finally to bounce on the floor. Students score 1 point for each surface the ball bounces off.",". Place a target (eg a hoop) for the ball to land in after it has rebounded from the second wall
. Students rebound the ball off the walls aiming to have it return to their feet"
Pickle,Groups of 10-12,a small softball per group,Large open space,"Each student is given a number. 1 student is named 'Pickle'. Pickle overhand throws the ball as high as possible and calls a number. The numbered student retrieves the ball and calls ""Pickle"". This person is now Pickle. All students 'freeze' and the new Pickle underarm throws the ball to hit a student below the waist. A student who is hit or moves becomes Pickle. Otherwise the thrower remains Pickle. Pickle starts the activity again.",
