Name,Students,Equipment,Area,Instructions,Variation
Step it Out,Pairs,1 softball per pair,Large open space,"1 student punts, the other scores and retrieves the ball. Points are awarded for the furthest punt (first bounce) and are equal to the number of steps it takes the partner to step out the distance. Students complete 10 punts each and attempt to set a personal best score",
Bombs Away,2 groups,1 softball per 2 students,Large open space,1 group lies face down in a marked area (netball shooting semi-circle). Each student in the other group has a ball and kicks high and long attempting to and (first bounce) the ball on top of a student in the other group,. Vary the distance in accordance with student's abilities
Marbles Punt,Pairs or groups of 3,1 playground ball per student,Large open space,"Student 1 punts the ball as far as possible. The other students then punt in turn, attempting to land their ball on student 1's ball, either on the full or with bouncing. When it is their turn, student 1 is allowed to punt the ball away to avoid being bit. When student 1's ball is hit, rotate the roles for another student's ball to be he target",. Students 2 and 3 are allowed 2 successive punts before student 1 is entitled to punt again
Rebound Punt,Pairs,1 round ball per pair,Open space with rebound wall,Students punt the ball as hard as possible into a rebound wall so that it ricochets high and long. Attempts are made to maximize the distance the ball first bounces from the wall.,
Golf Punt,Groups of 3-5,1 playground ball or football per student. 9 hoops and 9 marker cones.,Large open space,Set out a school golf course using marker cones as tee-off areas and hoops as lobbing holes. Set out each 'lob' so there is at least 50 metres between tee-off and the hole. Students play gold by punting forcefully from a tee and gently for the putting part of each hole. The ball must first bounce in the hoop for a hole to be completed. Set a number of punts for the round as the criteria for success. Start groups at different holes. ,. Students design their own holes
Long Ball Chase,2 groups of 6-10,2 base plates or marker cones and 1 ball per 2 groups,Large open space,"The object is for group 1 students to punt the ball, run to long base and return to home base, without going out. Group 2, the fielding side, has a home base catcher, a long base catcher and fielders. Group 1 students may remain at long base until another student punts the ball and it is safe to run to home base. Several students may be at long base at the same time. A student is out if they are tagged off base by a fielder with the ball, their punt is caught, or if they reach long or home base after the ball is received by the group 2 catchers. Group 1 scores a run for each successful return to home base. After each student has punted the ball, groups change.",
Freezeball,Groups of 8-10,1 ball per group,Large open space,"Students are given a number (1-8). A student punts the ball in the air and calls out a number. The student whose number is called runs to get the ball and the rest scatter. The student who has retrieved the ball, holds it above their head and calls 'freeze'. All students stop immediately. The student rolls the ball in an attempt to hit another student. Students may not move at this point. If hit, that student takes a turn to punt.",". A hit means the target student loses a life, a miss means the student rolling the ball loses a life. All students start with 10 lives."
Overtake,Groups of 7-8,2 balls per group,Large open space,Students form a large circle with 10-15 metres between each other. The activity is commenced with the balls either side of the circle. Students punt catch in the same direction from student to student in an effort to overtake the ball in front.,. Vary the distance between students
Clear the Line,Pairs,1 ball and 2 marker cones (goal post) per pair,Large open space,"Students start about 2-3 metres from the goal line. 1 student punts the ball taking successive attempts to clear the goal line on the full. After each successful punt, the student moves back 2-3 metres. The partner retrieves the ball. After up to 10 attempts, the partners swap roles. 1 point is scored for each successful punt. Pairs tally their points aiming to get to 50 points.",. Vary the angle of approach
Over the Stick,Groups of 3-5,"1 long stick (broom handle, cane) and 1 playground ball per group",Large open space,Student 1 and student 3 punt back and forth. Student 2 stands in the middle and attempts to touch the ball in flight with the stick. After 10 kicks students rotate positions. Students count the number of successful punts aiming for a tally.,. Vary the distance between students
