Name,Students,Equipment,Area,Instructions,Variation
Bean Bag Scramble,Whole class,1 hoop and 4 bean bags per 4 students,Grassed surface open space,"The hoops are randomly scattered with 4 bean bags placed in each hoop. A maximum of 4 students stand near each hoop. On a signal, students collect bean bags from other hoops and place them in their own hoop. Students cannot collect more than 1 bean bag at a time nor protect the bean bags in their hoop. Allow the activity to run for a set time, then reposition the bean bags and repeat.",". Vary the distance between hoops
. Skip between hoops"
Mother Witch,Whole class,Nil,Large open space,"1 student, the 'witch', walks in front of the rest of the group who tease the witch by singing:
'Slow, slow mother witch, fell in a ditch,
picked up a dollar and thought she was rich'
The witch turns and asks
""Whose children are you?""
They may give any name and the witch walks on. If they say ""Yours"" the witch chases them. The first student caught becomes the witch.",
Knees Up,Groups of 5,4 marker cones per group,Large open space,"Set out marker cones to create 2 lines 15-20 metres apart. Students stand in lines and skip with a high knee lift and matching opposite arm movement, towards the opposite line. Elbows bend at right angles in front and behind the body.",". Limit the number of steps for the given space
. This activity can be used for relays, tabloid sports and athletics practice"
Belly Starts,Groups of 5,4 marker cones,Large open space,Set out 4 marker cones to create 2 lines 15-20 metres apart. Students lie in lines on the floor face down. On a signal the students in the first row scramble to their feet and sprint to the line 15 metres away. Repeat the activity until each line of students has done a belly start.,". Vary the starting positions (eg facing the opposite direction, kneeling, reclining)
. Vary the distance that students sprint"
Radar Run,Groups of 5,1 radar gun or stop watch and 4 marker cones,Large open space,"Set out 4 marker cones to create 2 lines, 15-20 metres apart. Students stand in lines and sprint the set distance whilst the radar gun/stop watch records their speed/time. Comparisons can be made between recorded times and technique variations (eg straight arm versus bent arm sprinting)",. Record times for students and during a maths lesson students can calculate their running speed
Silent Sprint,Groups of 5,Nil,Large open space,"Set out 4 marker cones to create 2 lines, 15-20 metres apart. Students stand in lines and sprint lightly to the other end without making a noise with their feet. Discuss and experiment how running noise can be reduced without loss of speed. Emphasise the placement of the ball of the foot while running.",. Students attempt to get to the other end as quickly as possible without being detected by a leader
Shark in the Sea,Whole class,Long ropes,Large open space,Set ropes in a circle to signify a 'sea'. The 'shark' in the centre of the sea squats down and prowls around while all the other students skip around the shark chanting 'Shark in the sea... can't catch me.' After a time the shark jumps up and chases the rest. Students run out of the sea to safety.,. Nominate 4 or 5 sharks each time
Short Sharp Shuttles,Groups of 4,1 relay batan per group and 4 marker cones,Large open space,"Set out 4 marker cones to create 2 lines, 15-20 metres apart. Groups divide into 2 with each half at opposite ends, in lines, facing each other. A student sprints to the opposite end with the relay batan and passes it to the next runner.",". The runner rounds the back of their group and then reaches forwards to pass the batan to the next runner
. Use various relay formations (eg square, spoke and circular relay)"
Circle Sprint,Groups of 6,Chalk,Large open space,"6 students stand in a chalk circle and are numbered from 1-6. The teacher says ""On your marks, set,"" and then calls a number from 1-6. Students with the designated number sprint clockwise around the circle back to their place. ",. Students use relay batans. A runner sprints around the circle and then passes the batan to the next runner
Ball Sprint,2 groups of 7-8,1 ball per group,Large open space,"Groups form a line facing each other 40-60 metres apart. Place the balls in the middle of the area. The students in each group number off. The teacher calls ""On your marks, set"" and then a number. Students with that number sprint to their ball and raise it above their head. ",". Alter the distance between the students and the ball
. Students start from various positions (eg sitting, lying etc.)"
Beach Sprint,Groups of 4,1 soft object,Beach or large sand pit,"Place the object on the ground 20-40 metres from the starting line which is drawn in the sand. Students in their groups lie face down in line, facing the direction of travel. On a signal the first student in each line races forwards in an attempt to be first to grasp the object. The activity is repeated for the second student in each line, and so on. ",
Through the Tunnel,Whole class,1 bean bag per 2 students,Large open space,"Students form 2 large circles, 1 inside the other. The inner circle students stand with their feet astride facing the centre of the circle. A bean bag is placed in front of them. Students on the outside jog around the inner circle. On a signal they sprint around to their partner, scramble through their legs and hold the bean bag aloft. Rotate positions.",
Square Chase,Groups of 8-10,4 cones per group,Large open space,Set the cones in the corners of a 10-15 metre square. Students gather at each corner of the square. On a signal all students run clockwise to the next corner to avoid being tagged from behind. ,". The teacher calls 1, 2, 3 or 4 indicating the number of corners the students run around before stopping.
. Vary the size of the square
. Use another shape (eg rectangle, hexagon, octagon etc.)
"
Fighters and Bombers,Whole class,4 colour bands,Netball court,"4 students are designated the taggers and are the 'fighters'. The other students form pairs and are the 'bombers'. The fighters chase the bombers who link by holding hands. When tagged, the bombers stand still and make an arch. The bombers can be released when another bomber goes under the arch.",
Novelty Starts,Groups of 5-6,4 marker cones,Large open space,"Discuss different starting positions with students. Groups form lines with the first student in each line taking up a different starting position (eg. lying face down, head first; lying face down, feet first; on a side in a reclining position; sitting cross-legged, facing or not facing the direction of travel.) The teacher calls ""Set"" and then claps to signal for the students to scramble and sprint to the finish line. Repeat the activity until each line of students has run to the other side of the activity area.",
Beat the Band,Groups of 3,1 colour band per group,Large open space,"1 student stands 2 steps behind their partner. The third member of the group stands 8-10 metres away facing the front student and dangles a colour band at arms length. The third member calls ""Go"" and the front student attempts to get the colour band before being tagged by the partner from behind.",". Vary the distance between the 2 runners
. Vary the distance to the third student"
Pass and Sprint,2 groups of 6-10,1 large ball and 1 relay batan per 2 groups,Large open space,The running group forms a straight line with the first student holding the baton. The passing group forms a circle around one of their students. The first student from the running group runs around the circle of the passing group then passes the baton to student 2. Each member of the running group completes the circuit. All the same time the passing group counts how many passes of their ball can be made to the group members. Groups swap over and repeat. The group with the greater number of passes is the winner.,
World Records,Groups of 5-6,Marker cones,Large open space,"Set up marker cones to indicate running lanes and conduct unusual world record events (eg 49.5 metre sprint. 5 x 80 metre relay, world's fastest 8 metres. 50 metre sprint from a lying face down starting position.)",". Students design their own events
. Publish results/achievements in the school newsletter
. Set up a listing of personal best records for each student
"
Flags,Groups of 5-6,"1 red flag, 1 green flag, marker cones",Large open space,The marker cones designate start and finish lines 20-30 metres apart. The groups stand in lines at the start. The teacher raises the red flag - students stand to attention; the teacher raises the green flag - students take a standing start position; the teacher drops the green flag - the first student in each line sprints to the finishing line. The activity is repeated with the second student in each line sprinting and so on.,
Blast Off,Groups of 5-6,Marker cones,Large open space,"Groups stand in lines. On command, the first student in each group responds with the appropriate action:
. ""Engine is starting"" - on the spot slow jog
. ""Engine is warming"" - on the spot fast jog
. ""Engine is revving loudly"" - on the spot high knee lift sprint
. ""Count down ""5, 4, 3, 2, 1"" - on the spot high speed running on tip toes
. ""Blast Off"" - students sprint 10-15 metres and walk back
The activity is repeated until all students have ""Blast Off""",
Tunnel Run,Groups of 5-6,Marker cones and canes,Large open space,Create narrow lines by linking marker cones with canes. Lanes need only be 50-70 centimetres wide. Students sprint to the end of the lanes without knocking the marker cones or canes.,
Reaction Run,Groups of 5-6,2 marker cones or 1 rope per group,Large open space,"The marker cones or rope designate a start/finish line. In a row, students jog away from the start/finish line. On a signal they rapidly turn and sprint back to where they started.",. Students run in wet sand and review footprints looking for evidence that the correct foot placement was used (ie. the ball of the foot)
Loop Relay,Groups of 4-6,"2 marker cones, chalk and 1 relay batan per group",Large open space,"Groups divide into 2 and take position on chalk changeover lines. Student 1 sprints through the changeover zone, around the marker cone and passes the baton to student 2 inside the changeover  zone. Student 2 rounds the marker cone at the other end and passes the baton to student 3 inside the changeover zone and so on.",
Beat the Whistle,Whole class,"Marker cones, stopwatch, tape measure and whistle ",Large open space,"Students stand in a row. Markers are placed at various intervals (eg 15, 20, 30 metres). Time limits are set and students attempt to reach a given distance before the elapsed time is indicated by a whistle. Challenge all students by varying time limits to encourage slow running and fast running.",
